Codigo Invias,NombreEstacionPeaje,01/01/2014,02/01/2014,03/01/2014,04/01/2014,05/01/2014,06/01/2014,07/01/2014,08/01/2014,09/01/2014,10/01/2014,11/01/2014,12/01/2014,01/01/2015,02/01/2015,03/01/2015,04/01/2015,05/01/2015,06/01/2015,07/01/2015,08/01/2015,09/01/2015,10/01/2015,11/01/2015,12/01/2015,01/01/2016,02/01/2016,03/01/2016,04/01/2016,05/01/2016,06/01/2016,07/01/2016,08/01/2016,09/01/2016,10/01/2016,11/01/2016,12/01/2016,01/01/2017,02/01/2017,03/01/2017,04/01/2017,05/01/2017,06/01/2017,07/01/2017,08/01/2017,09/01/2017,10/01/2017,11/01/2017,12/01/2017,01/01/2018,02/01/2018,03/01/2018,04/01/2018,05/01/2018,06/01/2018,07/01/2018,08/01/2018,09/01/2018,10/01/2018,11/01/2018,12/01/2018
3952,PUERTO BERRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25319,41440,41481,45152,43846,44129,40819,43270,42316,53786,54698,37056,46528,38652,42022,45195,45056,44723,40546,46189,44390,55099,60689,38780,42491,46478,41809,44176,45016,42970,41729,45975,44569,58057,60148,40511,48889,46666,46222,53995,50340,48233,46965,51494,48311,60096
3939,PUERTO COLOMBIA,189984,127266,158867,164345,140092,157657,148511,160333,135093,153748,157391,186541,203910,148219,156864,166490,160985,175156,172482,173384,149400,171616,177095,205960,224862,161503,193958,149624,170995,168219,198028,173502,154640,170667,159063,189124,215866,159700,161732,179367,150962,169948,183279,168585,156620,179407,167782,201794,214778,159335,191824,157748,154361,176143,201883,184915,163986,179552,181665,220649
3808,PUERTO TRIUNFO,122452,76403,83089,99134,83538,90961,92947,96537,85597,98194,91388,130478,132970,85744,95416,100651,91511,104996,105791,107426,94925,113694,107350,150715,157971,92581,126686,92112,102676,106902,107472,117410,98061,114767,112728,146006,154334,92813,101776,121596,102885,119996,120904,120322,103492,121525,116671,159059,169702,99549,126966,110771,106053,122674,128324,127456,0,0,0,0
3921,PURGATORIO,109922,76872,87437,94072,83449,85327,86722,84510,81073,88010,85379,101308,107927,78016,89909,90481,87599,95365,93395,92737,89554,98071,94752,116088,123889,89737,105636,85919,92443,96542,94673,95120,89786,97696,94204,110439,118005,83435,92798,101585,91764,96912,97746,93359,84888,90684,90624,108626,117549,79774,96913,86736,82801,81844,91719,92291,85496,93664,90131,108378
3964,RINCON HONDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36945,48376,47773,50120,47236,49677,48150,63978,60565,46204,51965,58820,49914,50080,52109,49058,46641,49037,47687,61525,61769,24706,0,0,0,0,0,0,0,0,0,0
3974,RIO BOGOTA,666799,631797,711972,683512,704336,667137,713453,729459,701393,738036,708675,787726,696241,664839,741315,696045,743837,732072,771025,771028,736352,771395,733881,819219,714286,711530,740442,735962,760224,739632,750798,770933,746908,767333,743670,813290,728825,694251,777369,752116,777140,759521,786711,786207,749332,781785,771280,847537,743777,708900,792520,728417,804820,796714,799442,819476,791831,817909,797097,883196
,RIO SECO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19886,65878,63965,80973,73864,30559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3972,RIO SOGAMOSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156582,151580,176516,165769,137965,152381,139862,144753,148031,155475,152476,145218,149761,145671,171852,166336,132834,142048,144619,139160,144687,150371,147206,140547,153579,149846,102704,112962,114889,137239,132045,131497,138800,142366,141883,130827,138482,137159,163816
6805,RIONEGRO,160910,114848,124519,133683,148586,136597,131562,129601,121013,131421,145383,146643,160403,114062,122232,128569,129790,132390,133572,131409,123353,135908,132348,158275,171327,121789,139172,72496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6004,ROZO,93451,77809,87470,88553,87346,86488,90639,92447,86106,92122,91221,108142,102355,84506,97570,96182,98734,103800,110010,109609,98865,106107,106340,124717,118214,95641,109865,98059,108318,107063,121019,114292,104970,111438,110209,128032,122520,97809,110543,113450,111858,114092,122011,118558,107395,114427,115497,134143,126205,100832,116331,110936,109066,112361,121203,118181,109342,117288,0,0
3874,SABANAGRANDE,0,0,0,0,0,0,0,0,0,0,0,0,82971,249420,277634,278932,282120,279046,297729,291712,288143,303004,289923,324966,306516,272304,300536,286384,297518,294415,304546,311820,302202,314346,307853,350405,323070,295273,319915,313943,312815,308212,318603,318107,305225,315893,310389,344531,321140,286541,321151,301752,307127,294885,308236,309329,299989,315034,309205,338107
3953,SABOYA,130422,74391,82763,104867,104939,104651,89147,92089,77138,96417,96270,118637,135705,72943,86186,96750,84304,108145,101000,101506,82247,107020,95084,129319,143937,77110,111526,75850,93839,93138,99508,98367,83069,104283,97231,123093,140565,78166,88022,108962,87155,98886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3869,SAN BERNARDO (TRINIDAD ll),95204,71921,85023,87297,82327,88436,86214,91312,78639,87115,88235,111059,104521,74125,85600,87923,90981,97665,95877,96288,86249,95324,93198,120558,111341,80790,98452,82138,93916,90960,102911,98189,89227,99515,95606,122625,116398,83260,90701,87241,83104,95051,102920,97108,96425,94753,104929,121093,98673,53077,79091,67491,61570,58360,71016,69836,66403,73853,76567,100459
6804,SAN CARLOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3877,SAN CRISTOBAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111671,102953,95336,113155,103944,136925,130273,91703,100488,116194,96136,112693,117643,106672,100078,109333,110386,149573,115449,92218,123030,95059,100790,140738,116300,109774,102910,114361,111805,153358
