sigla|iata|nombre|municipio|departamento|categoria|latitud|longitud|propietario|explotador|longitud_pista|ancho_pista|pbmo|orientacion|elevacion|resolucion|fecha_construccion|fecha_vigencia|clase|tipo|numero_vuelos_origen|gcd_departamento|gcd_municipio
LAF||LA FUGA|Puerto López|Meta|Aeródromo|4.0564|-72.2481|INVERSIONES CALDERON DOUSDEBES|CARLOS A. GUTIERREZ C.|870|10|3000||656| 5963,000|||1A|Privado||50|50573
LAH||LA CAMPECHANA|Maní|Casanare|Aeródromo|4.8871|-72.3151|JOSE A. ROSAS BARRERA|FUMIVILLA LTDA|800|10|2000||609| 2138,000|||1A|Fumigación|1|85|85139
LAJ||LAJITAS|Puerto López|Meta|Aeródromo|4.1564|-72.9076|COMPENSAR|COMPENSAR|800|15|5000||787| 6350,000||2015-12-04|1A|Privado|6|50|50573
LAL||CRAVO SUR (antes la pista)|Orocué|Casanare|Aeródromo|4.8274|-71.6626|J.LONDOÑO R Y CIA|J.LONDOÑO R Y CIA|800|18|4500||482| 5384,000||2017-11-04|1A|Privado|52|85|85230
LAM||LA COLINA|Villavicencio|Meta|Aeródromo|4.0644|-73.3839|ERNESTO PEDRAZA GALEANO|AEROTEC LTDA.|850|19|6250||1058|  691,000|||1A|Fumigación|145|50|50001
LAO||LOS ALMENDROS|Carepa|Antioquia|Aeródromo|7.8083|-76.6519|SANVEL. LTDA.|FUMIGARAY|700|16|4000||134| 1314,000|||1A|Fumigación|32| 5| 5147
LAP||LA CARPETA|Paz de Ariporo|Casanare|Aeródromo|||||||||||||||1|85|85250
LAR||LA ARROBLEDA|Caloto|Cauca|Aeródromo|3.1023|-76.419|INCUBADORA SANTANDER|INCUBADORA SANTANDER|780|15|5700||3320| 6472,000||2016-12-02|1A|Privado|1264|19|19142
LAT||LA MATUA|San Diego|Cesar|Aeródromo|||||||||||||||1|20|20750
LAU||LAS JUANAS|Castilla la Nueva|Meta|Aeródromo|3.8233|-73.5322|GILBERTO GALINDO M.|SADELL  LTDA.|690|10|3000||1082| 4735,000|||1A|Fumigación|7|50|50150
LAV||LA VICTORIA|La Paz|Cesar|Aeródromo|10.0621|-73.2583|AMA LTDA.|AMA LTDA.|800|18|2000||300| 3939,000|||1A|Fumigación|2|20|20621
LAY||LA YE|Ciénaga|Magdalena|Aeródromo|11.0038|-74.2133|INVERSIONES AGROPECUARIAS DEL LITORAL LTDA.|CALIMA S.A.|930|18|4500||55| 3943,000|||1A|Fumigación||47|47189
LBR||LAS BRISAS|Villavicencio|Meta|Aeródromo|||||||||||||||114|50|50001
LCB||LA CAROLINA|Córdoba|Bolívar|Aeródromo|||||||||||||||3|13|13212
LCH|LCR|VIRGILIO BARCO VARGAS|La Chorrera|Amazonas|Regional|-1.4564|-72.8011|CAJA AGRARIA|COMISARIA DEL AMAZONAS|1500|21|||593|  916,000|||2A|Público|1754|91|91405
LCI||LA CACICA|San Martín|Cesar|Aeródromo|7.9861|-73.5779|LA CACICA LTDA.|LA CACICA LTDA.|600|18|3000||265| 5525,000||2017-12-03|1A|Privado|24|20|20770
LCM||LA CANDELARIA|Fuente de Oro|Meta|Aeródromo|||||||||||||||6|50|50287
LCT||LETICIA|Alvarado|Tolima|Aeródromo|4.463|-75.0359|ALVARO SIERRA FIGUEROA|SANIDAD VEGETAL CRUZ|840|10|2000||860| 6352,000|||1A|Fumigación|17|73|73026
LEB||LA GAVIOTA|Plato|Magdalena|Aeródromo|||||||||||||||1|47|47555
LEM||LA ESMERALDA|Villavicencio|Meta|Aeródromo|4.0883|-73.3678|GILMA LOZANO DE G.|ASAM LTDA|700|20|2000||984| 1581,000|||1A|Fumigación|11|50|50001
LET|LET|ALFREDO VASQUEZ COBO|Leticia|Amazonas|Internacional|-4.1918|-69.9422|AEROCIVIL|AEROCIVIL|2010|40|||314|  984,000|||3C|Aerocivil|16372|91|91001
LEV||LA GAVIOTA|La Primavera|Vichada|Aeródromo|4.5505|-70.9254|GOBERNACION|CENTRO LAS GAVIOTAS|1180|18|12202||606| 5796,000|||2B|Público|658|99|99524
LFA||LA FLORA|Yopal|Casanare|Aeródromo|||||||||||||||1|85|85001
LFE||LA FE|Ciénaga|Magdalena|Aeródromo|10.861|-74.1714|MARCO A. GIL PINTO|ASA S. EN C.|800|10|4500||56| 4221,000|||1A|Fumigación|3|47|47189
LFL||LAS FLORES|La Paz|Cesar|Aeródromo|10.0967|-73.2337|SOCIEDAD OLEOFLORES S.A.|SOC. OLEOFLORES S.A.|1300|18|5670||310| 2134,000||2017-05-06|2A|Privado|133|20|20621
LFT||LA FLORESTA|Yaguará|Huila|Aeródromo|||||||||||||||3|41|41885
LGA||LAS GARZAS|Prado|Tolima|Aeródromo|||||||||||||||4|73|73563
LGL||BELLA CRUZ -SAN JUAN|La Gloria|Cesar|Aeródromo|8.6233|-73.7319|SOCIEDAD MR. INVERSIONES LTDA|FASE CUBIDES Y CIA.|750|10|4000||135| 5273,000||2011-01-03|1A|Fumigación|76|20|20383
LGM||LA GAVIOTA MA|Plato|Magdalena|Aeródromo|||||||||||||||24|47|47555
LGP||LAGUNA PAVON|San José del Guaviare|Guaviare|Aeródromo|||||||||||||||108|95|95001
LGT||LAS GAVIOTAS|Puerto Lleras|Meta|Aeródromo|||||||||||||||33|50|50577
LGV||LOS GAVILANES|Guamal|Meta|Aeródromo|||||||||||||||1|50|50318
LHC||LOS HALCONES|Fuente de Oro|Meta|Aeródromo|||||||||||||||1|50|50287
LJB||EL BORREGO|La Jagua de Ibirico|Cesar|Aeródromo|9.5851|-73.4519|DRUMMOND LTD.|DRUMMOND LTD.|1500|29|||253| 5388,000|2014-10-28||3C|Privado|1288|20|20400
LJC||LA JAGUA DE IBIRICO|El Paso|Cesar|Aeródromo|9.6206|-73.5364|FADELCE LTDA|FADELCE LTDA.|880|20|4000||331| 3055,000|||1A|Fumigación|86|20|20250
LJD||CERRO DE PIEDRA|La Jagua de Ibirico|Cesar|Aeródromo|||||||||||||||1501|20|20400
LJI||NUEVA GRANADA|La Jagua de Ibirico|Cesar|Aeródromo|||||||||||||||207|20|20400
LJV||LA JAULA|La Primavera|Vichada|Aeródromo|5.3089|-69.8314|MARIA D. SALAZAR Y OTROS|MARIA C. SALAZAR|1100|20|5000||356|  275,000|||1A|Privado|25|99|99524
LLI||LAS DELICIAS|San Luis de Palenque|Casanare|Aeródromo|5.2075|-71.8136|PERENCO COLOMBIA LIMITED|PERENCO COLOMBIA LIMITED|600|17|12202||460|  933,000|||1A|Privado|3183|85|85325
LLM||LOMA LINDA|Puerto Lleras|Meta|Aeródromo|||||||||||||||10|50|50577
LLO||CALENTURITAS|Recetor|Casanare|Aeródromo|9.6523|-73.4951|C.I.PRODECO|C.I. PRODECO|700|18|6400||190|  996,000||2018-05-07|2A|Privado|4331|85|85279
LMA||JORGE ISAACS (LA MINA)|Maicao|La Guajira|Regional|11.2326|-71.4893|CARBONES DEL CERREJON|CARBONES DEL CERREJON|1700|45|||328|  831,000|||3D|Privado|10262|44|44430
